iter	Huber:delta=0.7
0	4.93435079
1	4.466826304
2	4.359183591
3	4.284971237
4	4.240855384
5	4.186877315
6	4.151426053
7	4.049785819
8	4.022522939
9	3.982541358
10	3.917614135
11	3.885297055
12	3.858136988
13	3.836953613
14	3.82123629
15	3.808470093
16	3.800595498
17	3.795064021
18	3.786798613
19	3.781037842
20	3.769823385
21	3.760700857
22	3.75768025
23	3.751572098
24	3.73720375
25	3.728441772
26	3.718933008
27	3.715628045
28	3.711958562
29	3.706465318
30	3.702624436
31	3.69467353
32	3.693369468
33	3.685355799
34	3.683106662
35	3.678080822
36	3.669149123
37	3.664873271
38	3.663145244
39	3.660011129
40	3.658023894
41	3.65235408
42	3.651784723
43	3.649104582
44	3.646518947
45	3.645239111
46	3.643706256
47	3.639017157
48	3.63423403
49	3.629832164
50	3.62934518
51	3.626642803
52	3.62055682
53	3.611540035
54	3.610568577
55	3.601597385
56	3.599149613
57	3.590027134
58	3.58599162
59	3.581380316
60	3.580425947
61	3.572795505
62	3.571487512
63	3.570890117
64	3.567326191
65	3.565659788
66	3.563882712
67	3.562728654
68	3.561573326
69	3.558248072
70	3.557309142
71	3.55585089
72	3.55529128
73	3.554034741
74	3.551604248
75	3.551075846
76	3.54854336
77	3.545588503
78	3.544833201
79	3.543575963
80	3.542220081
81	3.539793633
82	3.537972589
83	3.53689581
84	3.536542897
85	3.535731131
86	3.534854826
87	3.532846115
88	3.530083071
89	3.529513544
90	3.527547056
91	3.521837686
92	3.519615561
93	3.51846072
94	3.51758025
95	3.516490053
96	3.515566453
97	3.514243309
98	3.511160272
99	3.509908679
100	3.507517871
101	3.505560062
102	3.50445749
103	3.503305083
104	3.503151368
105	3.501943969
106	3.501013986
107	3.500098596
108	3.498809826
109	3.497510812
110	3.496953582
111	3.496403079
112	3.493532979
113	3.492969812
114	3.492754203
115	3.490843552
116	3.489778431
117	3.489217956
118	3.48864349
119	3.487549795
120	3.486321729
121	3.485786753
122	3.485449994
123	3.484487671
124	3.48392966
125	3.482974038
126	3.481286466
127	3.480215664
128	3.479560885
129	3.478847481
130	3.478001213
131	3.477943458
132	3.476588866
133	3.475433917
134	3.473850336
135	3.473207626
136	3.472072051
137	3.47183277
138	3.47126797
139	3.470521539
140	3.47043166
141	3.469867647
142	3.467919506
143	3.467812774
144	3.467264963
145	3.466307683
146	3.464606471
147	3.464395728
148	3.463476078
149	3.463152834
150	3.461670797
151	3.461519538
152	3.460626018
153	3.460600629
154	3.459359415
155	3.459073709
156	3.45868806
157	3.45798927
158	3.457421132
159	3.45581606
160	3.455234114
161	3.454813718
162	3.454573516
163	3.453721475
164	3.45318749
165	3.452483592
166	3.451430469
167	3.45088887
168	3.448944701
169	3.448377698
170	3.448324097
171	3.447319764
172	3.447123937
173	3.446505432
174	3.446137968
175	3.445921244
176	3.445783893
177	3.445297907
178	3.444770624
179	3.44450464
180	3.44291568
181	3.440788919
182	3.440201435
183	3.439846748
184	3.437774332
185	3.436165131
186	3.433850551
187	3.433507752
188	3.432550676
189	3.432126129
190	3.431560046
191	3.430790948
192	3.430210782
193	3.428053134
194	3.4263463
195	3.425249842
196	3.424682684
197	3.422847919
198	3.422019931
199	3.421614716
