iter	Passed	Remaining
0	0	40
1	0	33
2	0	31
3	0	30
4	0	29
5	0	28
6	1	27
7	1	27
8	1	26
9	1	26
10	1	26
11	1	26
12	1	25
13	1	25
14	2	25
15	2	25
16	2	25
17	2	24
18	2	24
19	2	24
20	2	24
21	2	24
22	3	23
23	3	23
24	3	23
25	3	23
26	3	23
27	3	22
28	3	22
29	4	22
30	4	22
31	4	22
32	4	22
33	4	21
34	4	21
35	4	21
36	4	21
37	5	21
38	5	21
39	5	21
40	5	20
41	5	20
42	5	20
43	5	20
44	5	20
45	6	20
46	6	20
47	6	20
48	6	19
49	6	19
50	6	19
51	6	19
52	7	19
53	7	19
54	7	19
55	7	19
56	7	18
57	7	18
58	7	18
59	7	18
60	8	18
61	8	18
62	8	18
63	8	17
64	8	17
65	8	17
66	8	17
67	8	17
68	9	17
69	9	17
70	9	16
71	9	16
72	9	16
73	9	16
74	9	16
75	10	16
76	10	16
77	10	16
78	10	15
79	10	15
80	10	15
81	10	15
82	10	15
83	11	15
84	11	15
85	11	15
86	11	14
87	11	14
88	11	14
89	11	14
90	12	14
91	12	14
92	12	14
93	12	13
94	12	13
95	12	13
96	12	13
97	12	13
98	13	13
99	13	13
100	13	13
101	13	12
102	13	12
103	13	12
104	13	12
105	13	12
106	14	12
107	14	12
108	14	11
109	14	11
110	14	11
111	14	11
112	14	11
113	15	11
114	15	11
115	15	11
116	15	10
117	15	10
118	15	10
119	15	10
120	15	10
121	16	10
122	16	10
123	16	9
124	16	9
125	16	9
126	16	9
127	16	9
128	17	9
129	17	9
130	17	9
131	17	9
132	17	8
133	17	8
134	17	8
135	18	8
136	18	8
137	18	8
138	18	8
139	18	8
140	18	7
141	18	7
142	19	7
143	19	7
144	19	7
145	19	7
146	19	7
147	19	6
148	19	6
149	19	6
150	20	6
151	20	6
152	20	6
153	20	6
154	20	5
155	20	5
156	20	5
157	21	5
158	21	5
159	21	5
160	21	5
161	21	5
162	21	4
163	21	4
164	21	4
165	22	4
166	22	4
167	22	4
168	22	4
169	22	3
170	22	3
171	22	3
172	22	3
173	23	3
174	23	3
175	23	3
176	23	3
177	23	2
178	23	2
179	23	2
180	23	2
181	24	2
182	24	2
183	24	2
184	24	1
185	24	1
186	24	1
187	24	1
188	24	1
189	25	1
190	25	1
191	25	1
192	25	0
193	25	0
194	25	0
195	25	0
196	25	0
197	26	0
198	26	0
199	26	0
